timestamp,dpid,port_no,utilization,link_label
1779333931.0,1,4,0.000000,s1_p4
1779333931.0,1,1,0.000000,s1_p1
1779333931.0,1,2,0.000000,s1_p2
1779333931.0,1,3,0.000000,s1_p3
1779333931.0,2,1,0.000000,s2_p1
1779333931.0,2,4,0.000000,s2_p4
1779333931.0,2,2,0.000000,s2_p2
1779333931.0,2,3,0.000000,s2_p3
1779333932.0,1,4,0.000000,s1_p4
1779333932.0,1,1,0.000000,s1_p1
1779333932.0,1,2,0.000000,s1_p2
1779333932.0,1,3,0.000000,s1_p3
1779333932.0,10,4,0.000000,s10_p4
1779333932.0,10,1,0.000000,s10_p1
1779333932.0,10,2,0.000000,s10_p2
1779333932.0,10,3,0.000000,s10_p3
1779333932.0,2,1,0.000000,s2_p1
1779333932.0,2,4,0.000000,s2_p4
1779333932.0,2,2,0.000000,s2_p2
1779333932.0,2,3,0.000000,s2_p3
1779333932.0,9,4,0.000000,s9_p4
1779333932.0,9,1,0.000000,s9_p1
1779333932.0,9,2,0.000000,s9_p2
1779333932.0,9,3,0.000000,s9_p3
1779333932.0,1,4,0.000000,s1_p4
1779333932.0,1,1,0.000000,s1_p1
1779333932.0,1,2,0.000000,s1_p2
1779333932.0,1,3,0.000000,s1_p3
1779333932.0,3,4,0.000000,s3_p4
1779333932.0,3,1,0.000000,s3_p1
1779333932.0,3,2,0.000000,s3_p2
1779333932.0,3,3,0.000000,s3_p3
1779333932.0,10,4,0.000000,s10_p4
1779333932.0,10,1,0.000000,s10_p1
1779333932.0,10,2,0.000000,s10_p2
1779333932.0,10,3,0.000000,s10_p3
1779333932.0,4,4,0.000000,s4_p4
1779333932.0,4,1,0.000000,s4_p1
1779333932.0,4,2,0.000000,s4_p2
1779333932.0,4,3,0.000000,s4_p3
1779333932.0,9,4,0.000000,s9_p4
1779333932.0,9,1,0.000000,s9_p1
1779333932.0,9,2,0.000000,s9_p2
1779333932.0,9,3,0.000000,s9_p3
1779333932.0,2,1,0.000000,s2_p1
1779333932.0,2,4,0.000000,s2_p4
1779333932.0,2,2,0.000000,s2_p2
1779333932.0,2,3,0.000000,s2_p3
1779333933.0,1,4,0.000000,s1_p4
1779333933.0,1,1,0.000000,s1_p1
1779333933.0,1,2,0.000000,s1_p2
1779333933.0,1,3,0.000000,s1_p3
1779333933.0,10,4,0.000000,s10_p4
1779333933.0,10,1,0.000000,s10_p1
1779333933.0,10,2,0.000000,s10_p2
1779333933.0,10,3,0.000000,s10_p3
1779333933.0,3,4,0.000000,s3_p4
1779333933.0,3,1,0.000000,s3_p1
1779333933.0,3,2,0.000000,s3_p2
1779333933.0,3,3,0.000000,s3_p3
1779333933.0,5,4,0.000000,s5_p4
1779333933.0,5,1,0.000000,s5_p1
1779333933.0,5,2,0.000000,s5_p2
1779333933.0,5,3,0.000000,s5_p3
1779333933.0,4,4,0.000000,s4_p4
1779333933.0,4,1,0.000000,s4_p1
1779333933.0,4,2,0.000000,s4_p2
1779333933.0,4,3,0.000000,s4_p3
1779333933.0,12,4,0.000000,s12_p4
1779333933.0,12,1,0.000000,s12_p1
1779333933.0,12,2,0.000000,s12_p2
1779333933.0,12,3,0.000000,s12_p3
1779333933.0,2,1,0.000000,s2_p1
1779333933.0,2,4,0.000000,s2_p4
1779333933.0,2,2,0.000000,s2_p2
1779333933.0,2,3,0.000000,s2_p3
1779333933.0,9,4,0.000000,s9_p4
1779333933.0,9,1,0.000000,s9_p1
1779333933.0,9,2,0.000000,s9_p2
1779333933.0,9,3,0.000000,s9_p3
1779333933.0,11,4,0.000000,s11_p4
1779333933.0,11,1,0.000000,s11_p1
1779333933.0,11,2,0.000000,s11_p2
1779333933.0,11,3,0.000000,s11_p3
1779333933.0,3,4,0.000000,s3_p4
1779333933.0,3,1,0.000000,s3_p1
1779333933.0,3,2,0.000000,s3_p2
1779333933.0,3,3,0.000000,s3_p3
1779333933.0,1,4,0.000000,s1_p4
1779333933.0,1,1,0.000000,s1_p1
1779333933.0,1,2,0.000000,s1_p2
1779333933.0,1,3,0.000000,s1_p3
1779333933.0,4,4,0.000000,s4_p4
1779333933.0,4,1,0.000000,s4_p1
1779333933.0,4,2,0.000000,s4_p2
1779333933.0,4,3,0.000000,s4_p3
1779333933.0,13,4,0.000000,s13_p4
1779333933.0,13,1,0.000000,s13_p1
1779333933.0,13,2,0.000000,s13_p2
1779333933.0,13,3,0.000000,s13_p3
1779333933.0,10,4,0.000000,s10_p4
1779333933.0,10,1,0.000000,s10_p1
1779333933.0,10,2,0.000000,s10_p2
1779333933.0,10,3,0.000000,s10_p3
1779333933.0,6,1,0.000000,s6_p1
1779333933.0,6,4,0.000000,s6_p4
1779333933.0,6,2,0.000000,s6_p2
1779333933.0,6,3,0.000000,s6_p3
1779333933.0,2,1,0.000000,s2_p1
1779333933.0,2,4,0.000000,s2_p4
1779333933.0,2,2,0.000000,s2_p2
1779333933.0,2,3,0.000000,s2_p3
1779333933.0,5,4,0.000000,s5_p4
1779333933.0,5,1,0.000000,s5_p1
1779333933.0,5,2,0.000000,s5_p2
1779333933.0,5,3,0.000000,s5_p3
1779333933.0,11,4,0.000000,s11_p4
1779333933.0,11,1,0.000000,s11_p1
1779333933.0,11,2,0.000000,s11_p2
1779333933.0,11,3,0.000000,s11_p3
1779333933.0,12,4,0.000000,s12_p4
1779333933.0,12,1,0.000000,s12_p1
1779333933.0,12,2,0.000000,s12_p2
1779333933.0,12,3,0.000000,s12_p3
1779333933.0,9,4,0.000000,s9_p4
1779333933.0,9,1,0.000000,s9_p1
1779333933.0,9,2,0.000000,s9_p2
1779333933.0,9,3,0.000000,s9_p3
1779333933.0,6,1,0.000000,s6_p1
1779333933.0,6,4,0.000000,s6_p4
1779333933.0,6,2,0.000000,s6_p2
1779333933.0,6,3,0.000000,s6_p3
1779333933.0,1,4,0.000000,s1_p4
1779333933.0,1,1,0.000000,s1_p1
1779333933.0,1,2,0.000000,s1_p2
1779333933.0,1,3,0.000000,s1_p3
1779333933.0,7,1,0.000000,s7_p1
1779333933.0,7,4,0.000000,s7_p4
1779333933.0,7,2,0.000000,s7_p2
1779333933.0,7,3,0.000000,s7_p3
1779333933.0,15,4,0.000000,s15_p4
1779333933.0,15,1,0.000000,s15_p1
1779333933.0,15,2,0.000000,s15_p2
1779333933.0,15,3,0.000000,s15_p3
1779333933.0,3,4,0.000000,s3_p4
1779333933.0,3,1,0.000000,s3_p1
1779333933.0,3,2,0.000000,s3_p2
1779333933.0,3,3,0.000000,s3_p3
1779333933.0,14,1,0.000000,s14_p1
1779333933.0,14,4,0.000000,s14_p4
1779333933.0,14,2,0.000000,s14_p2
1779333933.0,14,3,0.000000,s14_p3
1779333933.0,8,4,0.000000,s8_p4
1779333933.0,8,1,0.000000,s8_p1
1779333933.0,8,2,0.000000,s8_p2
1779333933.0,8,3,0.000000,s8_p3
1779333933.0,10,4,0.000000,s10_p4
1779333933.0,10,1,0.000000,s10_p1
1779333933.0,10,2,0.000000,s10_p2
1779333933.0,10,3,0.000000,s10_p3
1779333933.0,13,4,0.000000,s13_p4
1779333933.0,13,1,0.000000,s13_p1
